group,tag,shows,title_en,title_zh_hant,cn_annot_hant,title_zh_hans,cn_annot_hans,title_en_ok,title_hant_ok,title_hans_ok,title_hant_src,title_hans_src,syn_en,syn_hant,syn_hans
hadestown,Broadway/West End,25,Hadestown,Hadestown,冥界,Hadestown,冥界,1,1,1,官方譯名表,官方譯名表,1,1,1
haemongga,韓國原創,1,HAEMONGGA,HAEMONGGA,,HAEMONGGA,,1,0,0,—,—,0,0,0
hair,Broadway/West End,1,Hair,Hair,,Hair,,1,0,0,—,—,1,1,1
hairspray,Broadway/West End,16,Hairspray,Hairspray,髮膠明星夢,Hairspray,发胶星梦,1,1,1,官方譯名表,官方譯名表,1,1,1
hamilton,Broadway/West End,13,Hamilton,Hamilton,漢密爾頓,Hamilton,汉密尔顿,1,1,1,官方譯名表,官方譯名表,1,1,1
heathers,Broadway/West End,11,Heathers,Heathers,希德姐妹幫,Heathers,希德姐妹帮,1,1,1,官方譯名表,官方譯名表,1,1,1
hedwig and the angry inch,Broadway/West End,8,Hedwig and the Angry Inch,Hedwig and the Angry Inch,搖滾芭比,Hedwig and the Angry Inch,摇滚芭比,1,1,1,官方譯名表,官方譯名表,1,1,1
hello dolly,Broadway/West End,1,Hello Dolly,Hello Dolly,你好，多莉！,Hello Dolly,你好，多丽！,1,1,1,官方譯名表,官方譯名表,1,1,1
hells kitchen,Broadway/West End,14,Hell's Kitchen,Hell's Kitchen,,Hell's Kitchen,,1,0,0,—,—,1,1,1
hercules,Broadway/West End,1,Disney's Hercules,Disney's Hercules,大力士,Disney's Hercules,大力士,1,1,1,官方譯名表,官方譯名表,1,1,1
high school musical,Broadway/West End,1,High School Musical,High School Musical,歌舞青春,High School Musical,歌舞青春,1,1,1,官方譯名表,官方譯名表,1,1,1
high society,Broadway/West End,3,High Society,High Society,,High Society,,1,0,0,—,—,1,1,1
his story,韓國原創,1,모노뮤지컬 His-Story,모노뮤지컬 His-Story,,모노뮤지컬 His-Story,,0,0,0,—,—,0,0,0
hms pinafore w sarasota opera,Broadway/West End,1,HMS Pinafore w/ Sarasota Opera,HMS Pinafore w/ Sarasota Opera,,HMS Pinafore w/ Sarasota Opera,,1,0,0,—,—,1,1,1
holiday inn,Broadway/West End,1,Holiday Inn,Holiday Inn,,Holiday Inn,,1,0,0,—,—,1,1,1
honk,Broadway/West End,1,Honk!,Honk!,,Honk!,,1,0,0,—,—,1,1,1
hot mess,Broadway/West End,1,Hot Mess: A New Musical,Hot Mess: A New Musical,,Hot Mess: A New Musical,,1,0,0,—,—,1,1,1
how the grinch stole christmas,Broadway/West End,8,How the Grinch Stole Christmas,How the Grinch Stole Christmas,鬼靈精,How the Grinch Stole Christmas,圣诞怪杰,1,1,1,官方譯名表,官方譯名表,1,1,1
hunchback of notre dame,Broadway/West End,1,The Hunchback of Notre Dame,The Hunchback of Notre Dame,鐘樓怪人,The Hunchback of Notre Dame,钟楼怪人,1,1,1,官方譯名表,官方譯名表,1,1,1
hunky show,韓國原創,1,HUNKY SHOW,HUNKY SHOW,,HUNKY SHOW,,1,0,0,—,—,0,0,0
il ragazzo dai pantaloni rosa,歐陸原創,4,Il ragazzo dai pantaloni rosa,Il ragazzo dai pantaloni rosa,穿粉紅色褲子的男孩,Il ragazzo dai pantaloni rosa,穿粉红色裤子的男孩,1,1,1,官方譯名表,官方譯名表,1,1,1
im every woman,Broadway/West End,1,I'm Every Woman - The Chaka Khan Musical,I'm Every Woman - The Chaka Khan Musical,,I'm Every Woman - The Chaka Khan Musical,,1,0,0,—,—,1,1,1
imagilusion,西葡音樂劇,1,Imagilusion,Imagilusion,,Imagilusion,,1,0,0,—,—,1,1,1
in the heights,Broadway/West End,2,In the Heights,In the Heights,身在高地,In the Heights,身在高地,1,1,1,官方譯名表,官方譯名表,1,1,1
inside me,韓國原創,1,INSIDE ME,INSIDE ME,,INSIDE ME,,1,0,0,—,—,1,1,1
into the woods,Broadway/West End,2,Into the Woods,Into the Woods,拜訪森林,Into the Woods,魔法黑森林,1,1,1,官方譯名表,官方譯名表,1,1,1
jane eyre,Broadway/West End,6,Jane Eyre,Jane Eyre,簡愛,Jane Eyre,简·爱,1,1,1,官方譯名表,官方譯名表,1,1,1
jekyll and hyde,Broadway/West End,1,Jekyll & Hyde,Jekyll & Hyde,變身怪醫,Jekyll & Hyde,变身怪医,1,1,1,官方譯名表,官方譯名表,1,1,1
jersey boys,Broadway/West End,24,Jersey Boys,Jersey Boys,澤西男孩,Jersey Boys,泽西男孩,1,1,1,官方譯名表,官方譯名表,1,1,1
jesus christ superstar,Broadway/West End,16,Jesus Christ Superstar,Jesus Christ Superstar,萬世巨星,Jesus Christ Superstar,万世巨星,1,1,1,官方譯名表,官方譯名表,1,1,1
joseph and the amazing technicolor dreamcoat,Broadway/West End,4,Joseph and the Amazing Technicolor Dreamcoat,Joseph and the Amazing Technicolor Dreamcoat,約瑟的神奇彩衣,Joseph and the Amazing Technicolor Dreamcoat,约瑟的神奇彩衣,1,1,1,官方譯名表,官方譯名表,1,1,1
julekalender,歐陸原創,2,The Julekalender,The Julekalender,聖誕月曆,The Julekalender,圣诞月历,1,1,1,官方譯名表,官方譯名表,1,1,1
jurassic game,西葡音樂劇,1,Jurassic Game,Jurassic Game,,Jurassic Game,,1,0,0,—,—,1,1,1
just for one day,Broadway/West End,9,Just For One Day - The Live Aid Musical,Just For One Day - The Live Aid Musical,,Just For One Day - The Live Aid Musical,,1,0,0,—,—,1,1,1
just in time,Broadway/West End,3,Just In Time,Just In Time,,Just In Time,,1,0,0,—,—,1,1,1
kajko i kokosz szkoa latania,歐陸原創,1,Kajko i Kokosz. Szkoła latania,Kajko i Kokosz. Szkoła latania,,Kajko i Kokosz. Szkoła latania,,1,0,0,—,—,0,0,0
kapka medu pro verunku,歐陸原創,1,Kapka medu pro Verunku,Kapka medu pro Verunku,,Kapka medu pro Verunku,,1,0,0,—,—,1,1,1
kikis borderline personality disorder diary,韓國原創,1,Kiki's Borderline Personality Disorder Diary,Kiki's Borderline Personality Disorder Diary,,Kiki's Borderline Personality Disorder Diary,,1,0,0,—,—,1,1,1
kimberly akimbo,Broadway/West End,1,Kimberly Akimbo,Kimberly Akimbo,,Kimberly Akimbo,,1,0,0,—,—,1,1,1
kinky boots,Broadway/West End,4,Kinky Boots,Kinky Boots,長靴皇后,Kinky Boots,长靴皇后,1,1,1,官方譯名表,官方譯名表,1,1,1
la cage aux folles,Broadway/West End,2,La Cage aux Folles,La Cage aux Folles,一籠傻鳥,La Cage aux Folles,一笼傻鸟,1,1,1,官方譯名表,官方譯名表,1,1,1
la julia i el tauro,西葡音樂劇,1,La Júlia i el tauró,La Júlia i el tauró,茱莉亞與鯊魚,La Júlia i el tauró,茱莉娅与鲨鱼,1,1,1,官方譯名表,官方譯名表,1,1,1
la nit del music alt,西葡音樂劇,1,La Nit del Músic Alt,La Nit del Músic Alt,,La Nit del Músic Alt,,1,0,0,—,—,1,1,1
la opera de los tres centavos con coque malla,西葡音樂劇,1,"La Ópera de los tres centavos, con Coque Malla","La Ópera de los tres centavos, con Coque Malla",三便士歌劇,"La Ópera de los tres centavos, con Coque Malla",三便士歌剧,1,1,1,官方譯名表,官方譯名表,1,1,1
la rumba,西葡音樂劇,1,La Rumba,La Rumba,倫巴,La Rumba,伦巴,1,1,1,官方譯名表,官方譯名表,1,1,1
la vida en un segundo,西葡音樂劇,1,La vida en un segundo,La vida en un segundo,一秒鐘的人生,La vida en un segundo,一秒钟的人生,1,1,1,官方譯名表,官方譯名表,1,1,1
last five years,Broadway/West End,2,The Last Five Years,The Last Five Years,,The Last Five Years,,1,0,0,—,—,1,1,1
last ship,Broadway/West End,1,The Last Ship,The Last Ship,,The Last Ship,,1,0,0,—,—,1,1,1
laundry,韓國原創,1,laundry,laundry,,laundry,,1,0,0,—,—,1,1,1
le roi soleil,法式音樂劇,2,Le Roi Soleil,Le Roi Soleil,太陽王,Le Roi Soleil,太阳王,1,1,1,官方譯名表,官方譯名表,1,1,1
legally blonde,Broadway/West End,17,Legally Blonde,Legally Blonde,金法尤物,Legally Blonde,律政俏佳人,1,1,1,官方譯名表,官方譯名表,1,1,1
legy jo mindhalalig,歐陸原創,1,Légy jó mindhalálig,Légy jó mindhalálig,至死為善,Légy jó mindhalálig,至死为善,1,1,1,官方譯名表,官方譯名表,1,1,1
les miserables,Broadway/West End,10,Les Misérables,Les Misérables,悲慘世界,Les Misérables,悲惨世界,1,1,1,官方譯名表,官方譯名表,1,1,1
les souliers rouges the red shoes,法式音樂劇,2,Les Souliers Rouges (The Red Shoes),Les Souliers Rouges (The Red Shoes),紅舞鞋,Les Souliers Rouges (The Red Shoes),红舞鞋,1,1,1,官方譯名表,官方譯名表,1,1,1
let me fly,韓國原創,1,LET ME FLY,LET ME FLY,,LET ME FLY,,1,0,0,—,—,0,0,0
let the cheongsachorong shine,韓國原創,1,Let the Cheongsachorong Shine!,Let the Cheongsachorong Shine!,,Let the Cheongsachorong Shine!,,1,0,0,—,—,0,0,0
leyendas mexicanas de terror 2,西葡音樂劇,1,Leyendas Mexicanas De Terror 2,Leyendas Mexicanas De Terror 2,墨西哥恐怖傳說 2,Leyendas Mexicanas De Terror 2,墨西哥恐怖传说 2,1,1,1,官方譯名表,官方譯名表,0,0,0
libre,西葡音樂劇,1,Libre,Libre,自由,Libre,自由,1,1,1,官方譯名表,官方譯名表,1,1,1
lion king,Broadway/West End,16,The Lion King,The Lion King,獅子王,The Lion King,狮子王,1,1,1,官方譯名表,官方譯名表,1,1,1
little mermaid,Broadway/West End,2,The Little Mermaid,The Little Mermaid,小美人魚,The Little Mermaid,小美人鱼,1,1,1,官方譯名表,官方譯名表,1,1,1
little shop of horrors,Broadway/West End,3,Little Shop of Horrors,Little Shop of Horrors,恐怖小店,Little Shop of Horrors,恐怖小店,1,1,1,官方譯名表,官方譯名表,1,1,1
little women,Broadway/West End,2,Little Women,Little Women,小婦人,Little Women,小妇人,1,1,1,官方譯名表,官方譯名表,1,1,1
lizzie,Broadway/West End,2,Lizzie,Lizzie,,Lizzie,,1,0,0,—,—,1,1,1
london way ivresse vague,日本原創,2,The London Way／Ivresse Vague,The London Way／Ivresse Vague,,The London Way／Ivresse Vague,,1,0,0,—,—,1,1,1
los chicos del coro,西葡音樂劇,1,Los chicos del coro,Los chicos del coro,放牛班的春天,Los chicos del coro,放牛班的春天,1,1,1,官方譯名表,官方譯名表,1,1,1
lost boys,Broadway/West End,1,The Lost Boys: A New Musical,The Lost Boys: A New Musical,,The Lost Boys: A New Musical,,1,0,0,—,—,1,1,1
love any way,台灣原創,1,"Love, Any Way? 愛，就愛吧？","Love, Any Way? 愛，就愛吧？",,"Love, Any Way? 爱，就爱吧？",,0,1,1,原生中文,原生中文,1,1,1
love never dies,Broadway/West End,1,Love Never Dies,Love Never Dies,愛無止盡,Love Never Dies,爱无止尽,1,1,1,官方譯名表,官方譯名表,1,1,1
lupin,歐陸原創,2,LUPIN - Il Musical,LUPIN - Il Musical,亞森·羅蘋,LUPIN - Il Musical,亚森·罗宾,1,1,1,官方譯名表,官方譯名表,1,1,1
m butterfly,韓國原創,1,M. Butterfly,M. Butterfly,,M. Butterfly,,1,0,0,—,—,0,0,0
macskafogo,歐陸原創,2,Macskafogó,Macskafogó,貓城,Macskafogó,猫城,1,1,1,官方譯名表,官方譯名表,1,1,1
madagascar,Broadway/West End,1,Madagascar,Madagascar,馬達加斯加,Madagascar,马达加斯加,1,1,1,官方譯名表,官方譯名表,1,1,1
madangnori chunpungs wife,韓國原創,1,MADANGNORI CHUNPUNG's WIFE,MADANGNORI CHUNPUNG's WIFE,,MADANGNORI CHUNPUNG's WIFE,,1,0,0,—,—,1,1,1
made in hungaria,歐陸原創,2,MADE IN HUNGÁRIA,MADE IN HUNGÁRIA,匈牙利製造,MADE IN HUNGÁRIA,匈牙利制造,1,1,1,官方譯名表,官方譯名表,1,1,1
mamma mia,Broadway/West End,30,Mamma Mia!,Mamma Mia!,媽媽咪呀!,Mamma Mia!,妈妈咪呀!,1,1,1,官方譯名表,官方譯名表,1,1,1
maradona el diego,歐陸原創,17,Maradona El Diego - Opera Musical,Maradona El Diego - Opera Musical,迪亞哥·馬拉度納,Maradona El Diego - Opera Musical,迭戈·马拉多纳,1,1,1,官方譯名表,官方譯名表,1,1,1
maria theresia,德奧音樂劇,1,MARIA THERESIA – DAS MUSICAL,MARIA THERESIA – DAS MUSICAL,瑪麗亞·特蕾莎,MARIA THERESIA – DAS MUSICAL,玛丽亚·特蕾莎,1,1,1,官方譯名表,官方譯名表,1,1,1
mariana,西葡音樂劇,1,Mariana,Mariana,,Mariana,,1,0,0,—,—,0,0,0
martin guerre,Broadway/West End,1,Martin Guerre,Martin Guerre,馬丁·蓋爾,Martin Guerre,马丁·盖尔,1,1,1,官方譯名表,官方譯名表,1,1,1
marvin,Broadway/West End,8,MARVIN - The Marvin Gaye Musical,MARVIN - The Marvin Gaye Musical,,MARVIN - The Marvin Gaye Musical,,1,0,0,—,—,1,1,1
mary poppins,Broadway/West End,2,Mary Poppins,Mary Poppins,歡樂滿人間,Mary Poppins,欢乐满人间,1,1,1,官方譯名表,官方譯名表,1,1,1
masquerade,Broadway/West End,1,Masquerade,Masquerade,,Masquerade,,1,0,0,—,—,1,1,1
matilda,Broadway/West End,7,Matilda,Matilda,瑪蒂達,Matilda,玛蒂尔达,1,1,1,官方譯名表,官方譯名表,1,1,1
maybe happy ending,韓國原創,24,Maybe Happy Ending,Maybe Happy Ending,或許是美好結局,Maybe Happy Ending,也许美好结局,1,1,1,官方譯名表,官方譯名表,1,1,1
me and my girl,Broadway/West End,1,Me and My Girl,Me and My Girl,,Me and My Girl,,1,0,0,—,—,1,1,1
mean girls,Broadway/West End,11,Mean Girls,Mean Girls,辣妹過招,Mean Girls,贱女孩,1,1,1,官方譯名表,官方譯名表,1,1,1
memory card 2 georgia through masterpieces of music and cinema,Broadway/West End,1,Memory Card #2: Georgia Through Masterpieces of Music and Cinema,Memory Card #2: Georgia Through Masterpieces of Music and Cinema,,Memory Card #2: Georgia Through Masterpieces of Music and Cinema,,1,0,0,—,—,0,0,0
memphis,Broadway/West End,1,Memphis,Memphis,,Memphis,,1,0,0,—,—,1,1,1
menopause,Broadway/West End,28,Menopause The Musical,Menopause The Musical,,Menopause The Musical,,1,0,0,—,—,1,1,1
mentidrags,西葡音樂劇,1,Mentidrags,Mentidrags,,Mentidrags,,1,0,0,—,—,1,1,1
mentiras,西葡音樂劇,3,"Mentiras, el Musical","Mentiras, el Musical",謊言,"Mentiras, el Musical",谎言,1,1,1,官方譯名表,官方譯名表,1,1,1
metro,歐陸原創,2,Metro,Metro,地鐵,Metro,地铁,1,1,1,官方譯名表,官方譯名表,1,1,1
mexodus,Broadway/West End,1,Mexodus,Mexodus,,Mexodus,,1,0,0,—,—,1,1,1
mi madre serrat y yo,西葡音樂劇,1,"Mi madre, Serrat y yo","Mi madre, Serrat y yo",我媽媽、色拉特和我,"Mi madre, Serrat y yo",我妈妈、色拉特和我,1,1,1,官方譯名表,官方譯名表,1,1,1
mi padre sabina y yo,西葡音樂劇,1,"Mi Padre, Sabina y Yo","Mi Padre, Sabina y Yo",我爸爸、Sabina 和我,"Mi Padre, Sabina y Yo",我爸爸、Sabina 和我,1,1,1,官方譯名表,官方譯名表,1,1,1
michelangelo da caravaggio,歐陸原創,3,Michelangelo da Caravaggio - A Rock Musical,Michelangelo da Caravaggio - A Rock Musical,卡拉瓦喬,Michelangelo da Caravaggio - A Rock Musical,卡拉瓦乔,1,1,1,官方譯名表,官方譯名表,1,1,1
midnight,Broadway/West End,1,Midnight,Midnight,,Midnight,,1,0,0,—,—,1,1,1
midnight at the never get,Broadway/West End,1,Midnight at the Never Get,Midnight at the Never Get,,Midnight at the Never Get,,1,0,0,—,—,1,1,1
mil guitarras,西葡音樂劇,1,Mil guitarras - El Rock Musical,Mil guitarras - El Rock Musical,一千把吉他,Mil guitarras - El Rock Musical,一千把吉他,1,1,1,官方譯名表,官方譯名表,1,1,1
million dollar quartet,Broadway/West End,3,Million Dollar Quartet,Million Dollar Quartet,,Million Dollar Quartet,,1,0,0,—,—,1,1,1
mindig itt leszunk mohacs 500,歐陸原創,1,Mindig itt leszünk...Mohács 500,Mindig itt leszünk...Mohács 500,我們永遠在此·莫哈奇500,Mindig itt leszünk...Mohács 500,我们永远在此·莫哈奇500,1,1,1,官方譯名表,官方譯名表,1,1,1
miracle on 34th street,Broadway/West End,1,Miracle On 34th Street,Miracle On 34th Street,,Miracle On 34th Street,,1,0,0,—,—,1,1,1
miss saigon,Broadway/West End,3,Miss Saigon,Miss Saigon,西貢小姐,Miss Saigon,西贡小姐,1,1,1,官方譯名表,官方譯名表,1,1,1
mistrz i magorzata,歐陸原創,1,MISTRZ I MAŁGORZATA,MISTRZ I MAŁGORZATA,,MISTRZ I MAŁGORZATA,,1,0,0,—,—,0,0,0
mj,Broadway/West End,3,MJ the Musical,MJ the Musical,,MJ the Musical,,1,0,0,—,—,1,1,1
mocal story,歐陸原創,1,Močál Story,Močál Story,沼澤故事,Močál Story,沼泽故事,1,1,1,官方譯名表,官方譯名表,1,1,1
monstruos,西葡音樂劇,1,Monstruos el Musical,Monstruos el Musical,怪物,Monstruos el Musical,怪物,1,1,1,官方譯名表,官方譯名表,0,0,0
moon sorbet,韓國原創,1,Moon Sorbet,Moon Sorbet,,Moon Sorbet,,1,0,0,—,—,1,1,1
motherhood,Broadway/West End,2,Motherhood the Musical,Motherhood the Musical,,Motherhood the Musical,,1,0,0,—,—,0,0,0
moulin rouge,Broadway/West End,7,Moulin Rouge!,Moulin Rouge!,紅磨坊,Moulin Rouge!,红磨坊,1,1,1,官方譯名表,官方譯名表,1,1,1
mrs doubtfire,Broadway/West End,20,Mrs. Doubtfire,Mrs. Doubtfire,窈窕奶爸,Mrs. Doubtfire,窈窕奶爸,1,1,1,官方譯名表,官方譯名表,1,1,1
murder for two,Broadway/West End,3,Murder for Two,Murder for Two,,Murder for Two,,1,0,0,—,—,1,1,1
music man,Broadway/West End,3,The Music Man,The Music Man,歡樂音樂妙無窮,The Music Man,欢乐音乐妙无穷,1,1,1,官方譯名表,官方譯名表,1,1,1
musical 1989,歐陸原創,1,Musical 1989,Musical 1989,,Musical 1989,,1,0,0,—,—,1,1,1
musical love confession,韓國原創,1,고백 (Musical Love Confession,고백 (Musical Love Confession,,고백 (Musical Love Confession,,0,0,0,—,—,0,0,0
musical taru,台灣原創,3,Musical TARU！恐龍復活了！,Musical TARU！恐龍復活了！,,Musical TARU！恐龙复活了！,,0,1,1,原生中文,原生中文,1,1,1
my bucket list,韓國原創,6,My Bucket List,My Bucket List,我的遺願清單,My Bucket List,我的遗愿清单,1,1,1,官方譯名表,官方譯名表,1,1,1
my fair lady,Broadway/West End,3,My Fair Lady,My Fair Lady,窈窕淑女,My Fair Lady,窈窕淑女,1,1,1,官方譯名表,官方譯名表,1,1,1
mystic pizza,Broadway/West End,9,Mystic Pizza,Mystic Pizza,,Mystic Pizza,,1,0,0,—,—,1,1,1
na prochach,歐陸原創,1,Na prochach,Na prochach,,Na prochach,,1,0,0,—,—,0,0,0
naruto,日本原創,1,NARUTO-ナルト-,NARUTO-ナルト-,,NARUTO-ナルト-,,0,0,0,—,—,0,0,0
ne zha,中國原創,1,哪吒NE ZHA,哪吒NE ZHA,,哪吒NE ZHA,,0,1,1,原生中文,原生中文,0,0,0
next to normal,Broadway/West End,1,Next to Normal,Next to Normal,近乎正常,Next to Normal,近乎正常,1,1,1,官方譯名表,官方譯名表,1,1,1
nikola tesla vegtelen energia,歐陸原創,1,Nikola Tesla - Végtelen energia,Nikola Tesla - Végtelen energia,尼古拉·特斯拉：無限能量,Nikola Tesla - Végtelen energia,尼古拉·特斯拉：无限能量,1,1,1,官方譯名表,官方譯名表,1,1,1
nine,Broadway/West End,1,Nine,Nine,,Nine,,1,0,0,—,—,1,1,1
notebook,Broadway/West End,14,The Notebook,The Notebook,手札情緣,The Notebook,恋恋笔记本,1,1,1,官方譯名表,官方譯名表,1,1,1
notre dame de paris,法式音樂劇,14,Notre-Dame de Paris,Notre-Dame de Paris,鐘樓怪人,Notre-Dame de Paris,巴黎圣母院,1,1,1,官方譯名表,官方譯名表,1,1,1
nunsense,Broadway/West End,1,Nunsense,Nunsense,,Nunsense,,1,0,0,—,—,1,1,1
oedipus,韓國原創,1,Oedipus,Oedipus,伊底帕斯,Oedipus,伊底帕斯,1,1,1,官方譯名表,官方譯名表,1,1,1
oklahoma,Broadway/West End,2,Oklahoma!,Oklahoma!,奧克拉荷馬!,Oklahoma!,俄克拉荷马!,1,1,1,官方譯名表,官方譯名表,1,1,1
oliver,Broadway/West End,7,Oliver!,Oliver!,孤雛淚,Oliver!,雾都孤儿,1,1,1,官方譯名表,官方譯名表,1,1,1
oliver twist,歐陸原創,3,Oliver Twist,Oliver Twist,孤雛淚,Oliver Twist,雾都孤儿,1,1,1,官方譯名表,官方譯名表,1,1,1
on your feet,Broadway/West End,1,On Your Feet!,On Your Feet!,,On Your Feet!,,1,0,0,—,—,0,0,0
once,Broadway/West End,1,Once,Once,,Once,,1,0,0,—,—,1,1,1
one day,Broadway/West End,1,One Day – The Musical,One Day – The Musical,,One Day – The Musical,,1,0,0,—,—,1,1,1
one sleepy night,Broadway/West End,1,One Sleepy Night,One Sleepy Night,,One Sleepy Night,,1,0,0,—,—,1,1,1
operation mincemeat,Broadway/West End,18,Operation Mincemeat: A New Musical,Operation Mincemeat: A New Musical,,Operation Mincemeat: A New Musical,,1,0,0,—,—,1,1,1
origin of species,韓國原創,1,The Origin of Species,The Origin of Species,,The Origin of Species,,1,0,0,—,—,0,0,0
osky y su hilo multicolor,西葡音樂劇,1,Osky y su Hilo Multicolor,Osky y su Hilo Multicolor,Osky 與他的彩色線,Osky y su Hilo Multicolor,Osky 与他的彩色线,1,1,1,官方譯名表,官方譯名表,1,1,1
our ladies of perpetual succour,Broadway/West End,1,Our Ladies of Perpetual Succour,Our Ladies of Perpetual Succour,,Our Ladies of Perpetual Succour,,1,0,0,—,—,1,1,1
outsiders,Broadway/West End,18,The Outsiders,The Outsiders,小教父,The Outsiders,小教父,1,1,1,官方譯名表,官方譯名表,1,1,1
paddington,Broadway/West End,1,Paddington The Musical,Paddington The Musical,帕丁頓熊,Paddington The Musical,帕丁顿熊,1,1,1,官方譯名表,官方譯名表,1,1,1
pandorahearts,日本原創,2,PandoraHearts,PandoraHearts,,PandoraHearts,,1,0,0,—,—,1,1,1
parade,Broadway/West End,2,Parade,Parade,,Parade,,1,0,0,—,—,1,1,1
park yeol,韓國原創,1,Park Yeol,Park Yeol,,Park Yeol,,1,0,0,—,—,0,0,0
pegados,西葡音樂劇,1,Pegados,Pegados,黏在一起,Pegados,黏在一起,1,1,1,官方譯名表,官方譯名表,1,1,1
peter pan,Broadway/West End,3,Peter Pan,Peter Pan,彼得潘,Peter Pan,彼得潘,1,1,1,官方譯名表,官方譯名表,1,1,1
peter pan il musical bennato,歐陸原創,1,Peter Pan,Peter Pan,彼得潘,Peter Pan,彼得·潘,1,1,1,官方譯名表,官方譯名表,1,1,1
phantom of the opera,Broadway/West End,18,The Phantom of the Opera,The Phantom of the Opera,歌劇魅影,The Phantom of the Opera,剧院魅影,1,1,1,官方譯名表,官方譯名表,1,1,1
picture of dorian gray,韓國原創,3,The Picture of Dorian Gray,The Picture of Dorian Gray,道林·格雷,The Picture of Dorian Gray,道林·格雷,1,1,1,官方譯名表,官方譯名表,1,1,1
pilgrims progress,韓國原創,1,The Pilgrim’s Progress,The Pilgrim’s Progress,,The Pilgrim’s Progress,,1,0,0,—,—,1,1,1
pinocchio,Broadway/West End,1,Pinocchio,Pinocchio,,Pinocchio,,1,0,0,—,—,1,1,1
pinocchio musical,歐陸原創,2,"Pinocchio, Musical","Pinocchio, Musical",木偶奇遇記,"Pinocchio, Musical",木偶奇遇记,1,1,1,官方譯名表,官方譯名表,1,1,1
piotrus pan,歐陸原創,1,PIOTRUŚ PAN,PIOTRUŚ PAN,,PIOTRUŚ PAN,,1,0,0,—,—,0,0,0
pippi pa sirkus,歐陸原創,1,Pippi at the Circus,Pippi på sirkus,長襪皮皮在馬戲團,Pippi på sirkus,长袜子皮皮在马戏团,1,1,1,官方譯名表,官方譯名表,1,1,1
pippin,Broadway/West End,1,Pippin,Pippin,,Pippin,,1,0,0,—,—,1,1,1
pirates of penzance,Broadway/West End,4,Pirates of Penzance,Pirates of Penzance,彭贊斯的海盜,Pirates of Penzance,彭赞斯的海盗,1,1,1,官方譯名表,官方譯名表,1,1,1
polita,歐陸原創,1,POLITA,POLITA,波拉·尼格利,POLITA,波拉·内格里,1,1,1,官方譯名表,官方譯名表,1,1,1
portrait of a boy,韓國原創,1,Portrait of a boy,Portrait of a boy,,Portrait of a boy,,1,0,0,—,—,1,1,1
pretty woman,Broadway/West End,14,Pretty Woman,Pretty Woman,麻雀變鳳凰,Pretty Woman,风月俏佳人,1,1,1,官方譯名表,官方譯名表,1,1,1
pride,Broadway/West End,2,Pride,Pride,,Pride,,1,0,0,—,—,1,1,1
prince of egypt,Broadway/West End,2,The Prince of Egypt,The Prince of Egypt,埃及王子,The Prince of Egypt,埃及王子,1,1,1,官方譯名表,官方譯名表,1,1,1
princesas,西葡音樂劇,1,Princesas,Princesas,公主們,Princesas,公主们,1,1,1,官方譯名表,官方譯名表,1,1,1
princess story,西葡音樂劇,8,Princess Story,Princess Story,,Princess Story,,1,0,0,—,—,1,1,1
producers,Broadway/West End,3,The Producers,The Producers,金牌製作人,The Producers,金牌制作人,1,1,1,官方譯名表,官方譯名表,1,1,1
q,中國原創,1,阿Q与吴妈,阿Q與吳媽,,阿Q与吴妈,,0,1,1,原生中文,原生中文,0,0,0
rabbits eight sufferings,韓國原創,1,RABBIT'S EIGHT SUFFERINGS,RABBIT'S EIGHT SUFFERINGS,,RABBIT'S EIGHT SUFFERINGS,,1,0,0,—,—,1,1,1
raffaella,歐陸原創,2,Raffaella il Musical,Raffaella il Musical,拉斐拉·卡拉,Raffaella il Musical,拉斐拉·卡拉,1,1,1,官方譯名表,官方譯名表,1,1,1
rebecca,德奧音樂劇,1,Rebecca,Rebecca,蝴蝶夢,Rebecca,蝴蝶梦,1,1,1,官方譯名表,官方譯名表,1,1,1
rebelove karlin,歐陸原創,1,Rebelové Karlín,Rebelové Karlín,叛逆者,Rebelové Karlín,叛逆者,1,1,1,官方譯名表,官方譯名表,1,1,1
rent,Broadway/West End,4,Rent,Rent,吉屋出租,Rent,吉屋出租,1,1,1,官方譯名表,官方譯名表,1,1,1
ride the cyclone,Broadway/West End,1,Ride the Cyclone,Ride the Cyclone,,Ride the Cyclone,,1,0,0,—,—,1,1,1
rincones con lorena gomez,西葡音樂劇,1,"Rincones, con Lorena Gómez - Un musical sobre los amores de tu vida","Rincones, con Lorena Gómez - Un musical sobre los amores de tu vida",角落,"Rincones, con Lorena Gómez - Un musical sobre los amores de tu vida",角落,1,1,1,官方譯名表,官方譯名表,1,1,1
rita lee uma autobiografia musical,西葡音樂劇,1,"Rita Lee, uma autobiografia musical","Rita Lee, uma autobiografia musical",Rita Lee：音樂自傳,"Rita Lee, uma autobiografia musical",Rita Lee：音乐自传,1,1,1,官方譯名表,官方譯名表,1,1,1
road to legend,日本原創,1,Road to Legend-,Road to Legend-,,Road to Legend-,,1,0,0,—,—,1,1,1
robin hood,Broadway/West End,1,Robin Hood,Robin Hood,羅賓漢,Robin Hood,罗宾汉,1,1,1,官方譯名表,官方譯名表,1,1,1
